,depth,magnitude
0,10.0,4.7
1,68.5,4.3
2,5.59,4.7
3,4.88,2.6
4,6.0,2.45
5,10.0,4.4
6,10.0,4.6
7,10.0,5.6
8,9.66,4.2
9,115.0,2.84
10,5.929,2.9
11,9.9,3.7
12,21.8,3.0
13,102.0,3.2
14,12.73,5.0
15,80.24,4.2
16,79.0,2.98
17,59.41,2.7
18,3.0,2.71
19,20.8,2.8
20,40.9,2.7
21,72.71,4.6
22,10.0,4.4
23,4.47,2.9
24,5.0,2.9
25,42.91,4.4
26,211.02,5.6
27,52.0,2.67
28,10.0,5.3
29,36.0,2.8
30,59.42,4.4
31,4.0,3.2
32,4.52,3.8
33,5.0,2.74
34,138.23,4.5
35,23.4,3.0
36,51.0,3.6
37,15.49,4.8
38,74.0,2.58
39,199.7,2.5
40,10.0,4.2
41,10.0,4.7
42,63.0,3.53
43,10.0,5.6
44,8.2,3.1
45,53.04,4.3
46,83.78,4.5
47,28.2,2.8
48,4.59,4.3
49,6.13,5.2
50,19.92,3.2
51,10.0,3.4
52,10.0,4.5
53,3.1,3.3
54,15.0,2.85
55,10.0,4.5
56,0.9,2.9
57,24.7,3.1
58,48.99,4.7
59,120.78,4.5
60,573.61,4.5
61,10.0,2.7
62,12.74,4.6
63,10.0,4.1
64,11.0,3.25
65,3.648,3.2
66,5.08,2.67
67,6.969,2.7
68,15.0,5.7
69,10.0,4.4
70,110.7,2.6
71,138.0,3.43
72,10.0,4.6
73,6.05,2.69
74,10.0,4.2
75,8.2,2.5
76,8.59,5.0
77,10.0,5.1
78,20.37,3.4
79,21.11,3.6
80,581.98,5.3
81,29.7,2.5
82,10.0,4.0
83,10.0,4.8
84,5.0,3.0
85,5.4,2.8
86,10.0,4.1
87,35.1,4.0
88,10.0,4.6
89,48.4,3.5
90,12.15,2.75
91,4.2,2.61
92,552.28,4.6
93,32.0,2.66
94,57.0,2.7
95,58.82,4.6
96,29.0,3.5
97,77.0,3.46
98,10.0,4.8
99,2.2,2.5
100,7.0,4.8
101,15.89,4.1
102,22.38,3.6
103,20.65,3.1
104,100.0,3.8
105,22.7,3.5
106,141.1,2.6
107,10.0,4.7
108,10.0,4.7
109,107.81,5.0
110,263.48,4.2
111,3.3,4.4
112,10.0,3.9
113,8.69,4.7
114,40.2,3.0
115,105.22,4.5
116,63.5,2.6
117,8.45,4.9
118,132.27,4.0
119,14.0,5.4
120,243.65,5.6
121,148.0,2.71
122,6.65,5.2
123,6.12,5.2
124,28.0,3.7
